Title,Title_URL,Image,bigqs_URL,bigqs,bigqs1,iugum,bigqs2,rpecd,jguwg_spancontainsclass_ycete,bigqs3,bigqs4
,,,,,17 contributions,,0,Oct 2023 • Couples,"Clean trains, easy to follow, we purchased I believe it is called the Trekkar Ticket, you can travel as much as you want in two weeks.  It cost around $130 per person.  They recommend to purchase online for a discount.  Major routes easy to access but I don’t think I would purchase this kind of ticket again.  I think I would have used a combination of trains and buses to get around.  It was difficult to get to some locations on trains and some don’t come very often.  About the same price for buses and trains, just remember to purchase online for alot of savings",Written 8 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Clonmel, Ireland",22 contributions,0,Oct 2023 • Family,We requested wheelchair assistant in thurles and Heuston and the service was excellent from both employees. Highly appreciated thank you for making my dad comfortable on his journey to dublin,Written 2 October 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,SAINT PETERSBURG,6 contributions,0,Sep 2023 • Couples,"Earlier this month, my wife and I spent 7 glorious days “riding the rail” on the Emerald Pullman seeing the entirity of Ireland…Ireland’s version  of the Orient Express/South Africa Blue Train, with a significant difference being, we spent each night in a 4/5 star hotel (3 in Killarney, 2 in Galway; 2 in Belfast). Led by Railtours David Carse, we experienced each of Ireland’s wonders to include the Ring of Kerry, Cliffs of Mohr and the Giants Causeway. Each day began with a full Irish Breakfast, stopping along the way in famous Pubs for lunch and libations. Hotel evenings were at the travelers leisure, with locales to explore or eating in as desired. David’s team took marvelous care of us with lunches, snacks and libations served on our handsome 3 rail car accommodations. Launching out of Dublin’s Connelly Station, check-in process was simple, with David’s team handling all luggage. Also, included in our fare was a 48 hr complimentary Hop-on, Hop-off pass which we exercised after returning to Dublin. Take it from this 85 year old, 31 year Air Force Vet, the Emerald Pullman is an opportunity of a lifetime, not to be missed!!",Written 25 September 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Richardson, TX",41 contributions,0,Sep 2023 • Friends,"Inexpensive and easy to get to train station, purchase tickets, and board. Lots of empty seats and space. Snacks and drinks were available from the service attendants who came through the cars. Great way to go from Belfast to Dublin or vice versa.",Written 19 September 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Richmond, KY",14 contributions,0,Sep 2023 • Couples,"Excellent train. Quick, comfortable, usb chargers at sears, tables. Bathrooms immaculate. I really don’t understand what people, especially from the states are complaining about. We have extremely poor train service except on east coast corridor. BTW, 11€ is a bargain.",Written 9 September 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,4 contributions,,0,Sep 2023 • Solo,"Great customer service, while travelling from Tralee to Mallow, the most kindest ticket checker I’ve met, helped on and off the train we had lots of luggage.
Irishrail give this man the recommendation he deserves, not enough good people on the trains these days.
Made mine and my mother’s experience travelling a pleasure as she is elderly.
Thanks Ticket Checker Sean from Tralee Station.

Regards
Kevin",Written 7 September 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,19 contributions,,0,Aug 2023 • Family,Dublin - Galway Railway. Cheap tickets precise departure and arrival. A good way to see and enjoy the Irish landscape. Easy booking on-line and printing of the tickets at the station.,Written 20 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,6 contributions,,0,Aug 2023 • Couples,"I travel with trains quite often - even abroad - but never experienced such a bad service as I had on the „flagship“…
I traveled from Belfast to Dublin - at the Translink Station in Belfast they said it is not possible to make a reservation in second class. Weil - obviously it is possible- but only if you book a return Ticket in the Republic of Ireland - with the consequence that almost every seat in my train had a reservation. So - only take this train if you don‘t have to go oneway from Belfast to Dublin - or if you want to have stress and accept the risk of having no seat. Taking the bus would be cheaper more comfortable (as you have a Seat) and faster - and you don‘t feel discriminated by Translink Northern Ireland.",Written 20 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,1,Aug 2023 • Family,"Can't get trains on time the worst customer service asking everyone do you know where the train is, all the employees saying I don't know, a little communication  to your paying customers would be appreciated, next I travel I'll take the bus, absolutely the worst service in the world",Written 19 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Kemptville, Canada",5 contributions,1,Jul 2023,"My friend and I (both seniors) booked train tickets with assigned seats, travelling from Dublin to Wexford (about 2.5 hrs).  When we arrived at the train station, they had changed the train to a ""commuter"" without assigned seats.  There was an event near one of the stops and the train was so crowded, we had to stand for 3/4 of the trip - 2 hours.  It was packed and miserable.  For our return trip a week later, the same thing happened again; the scheduled train had been replaced by a ""commuter"" without assigned seats.  We managed to get 2 seats but many people did not.  I would NEVER travel on Irish Rail again!",Written 18 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",105 contributions,0,Aug 2023 • Friends,"We travelled to Limerick from Dublin,Houston on 10 August. A problem with the train meant there was a delay before departure. There were regular announcements to update passengers and the station staff were pleasant and informative when questioned. Shortly after departure all passengers were offered free tea or coffee as compensation for the delay. A nice touch!",Written 15 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,4 contributions,,0,Aug 2023 • Solo,"I was on a train from Heuston to Ballina Mayo, which is a 3 and a half hour train ride. It was a warm day today, with tempatures reaching 20 degrees. The train was unbearebly hot, with no windows to open or AC on. On top of this these is no cart service, so you cant even buy a bottle of water. Horrible experinece. Iriahrail are such a bad service in general, , i would advise not using them but theres not much choice when trying to travel around Ireland without a car.",Written 11 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,0,Aug 2023 • Family,Hi. So today we travelled from Connolly Station to Maynooth on the 4pm sligo train from platform 3. I have to say positive first the staff were amazing and the man looking after us from a wheelchair side was amazing. He had a beard I'm only sorry I didn't get his name but he was amazing a beautiful man so kind and thoughtful. Now to a negative I had my son in a wheelchair and myself and him travelling to maynooth one way were charged €3.90 each this is crazy my son wasn't charged anything on the way in from Maynooth. But anyway I won't take it away as the staff apart from the ticket sales guy at Connelly were lovely. We are home on holiday from UK. Thanks Maria ,Written 10 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Waterford, Ireland",24 contributions,0,Aug 2023 • Couples,"What an amazing experience & a First this way with 2 wheels!. We travelled from Waterford to Athlone with bikes & had 2 change rovers en route. Our return from Athlone took us to Dublin Heuston to change for Waterford ..The trains were Clean,comfortable & the staff were unbelievably  helpul in every way. Outstanding.!!Unfortunately I can't name all of them but the guy in Athlone, longish hair & bracelets went above & beyond & even stored our bikes while we went for a stroll. Commendable!!   Million thanks!🤗Got one name...Aidan.... He helped us get the bikes on the rack in Athlone & then proceeded to get us to our coach C.  Many thanks Aidan. Absolute Service with a smile throughout.😁 Irish Rail....You would rival any train company all over europe! Very impressed!!!👏",Written 10 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Aug 2023 • Friends,"Terrible service. No value for your money. Booked seat and passagenger didnt move from my allocated seat.
Not good service maybe in a 3rd world country but not in europe.
Tried lots of other rail services in europe and this one was by far the worse",Written 2 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"County Louth, Ireland",20 contributions,0,Jul 2023 • Family,"This summer has been our opportunity to visit other towns/cities in Ireland for mini-breaks rather than holiday overseas. It’s not likely to happen again because of the frustration caused by Irish Rail. Travelling with older relatives, I pre-booked seats to ensure that we would all be sitting together, would have less walking distance, etc.  The guessing begins at the stations: (1)  On this platform, where might my carriage pull up, give or take? Even the Irish Rail ticket checker wouldn’t hazard a guess.  (2) Which end of the carriage might our seats be? As others have mentioned, walking through a busy carriage with backpacks, or worse, a suitcase because you got on the opposite end of your seats and/or luggage rack, is a nightmare and slows the process for everyone. Even if this info. was available through an app in advance of the trains arrival, it would be helpful. Or by digital screens indicating carriages, seat numbers at either end of the carriage, and which end of the carriage the bathroom and luggage racks are. I understand that carriages do not consistently run in the same direction but in this era of information technology, surely there is a way to communicate better with rail users.And finally, which certainly makes a joke of the whole booking system, (3) the digital panels above seats which show that a seat has been pre-booked are frequently not on. So those without pre-booked seats sit where they want because all seats seem to be free. Along comes the pre-booked ticket holders and it just seems to be “Tough… we were here first and nothing said that I couldn’t sit here.”  Despite the facts that our tickets had our seat numbers and names printed on them.  They refused to move. We told the Irish Rail attendant who walked by, didn’t ask them to move, and was never seen again. Two young gentlemen gave up their pre-booked seats to let our older relatives sit down. This is the third train this summer where the digital panels were turned off. (Different routes) Why bother booking seats if you cannot depend on being able to sit together, or worse still, sit at all. From a health and safety perspective, why are overbooked trains allowed to run when passageways and hallways are blocked by those with no seats?  Good luck getting to a bathroom should you need one. Make the inter-city trains all-ticket so that Irish Rail knows when trains are full and if fewer or extra carriages are needed, and so that passengers know that when they book a seat, they actually get a seat.  On the plus side, we were fortunate that ALL of our train trips departed and arrived on time. But honestly, we will consider travelling with some of the private bus companies instead of Irish Rail in the future.",Written 1 August 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Jul 2023 • Family,"Guy next to me did cocaine and wanked while sitting with 2 kids, I assume his own as they were calling him daddy and got off at the same time. As well as this there was no seats and people had to stand until people got off. I was coming from Dublin and its just incredible how many people had to stand because they wouldn't limit the passengers.",Written 31 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,Jul 2023 • Friends,Girly I’m waiting for my train it’s like really late and its kinda annoying bc I have a strong dislike of other people,Written 29 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Newcastle, Ireland",1 contribution,0,Jul 2023 • Family,"My wife, myself and my 6-year-old son were traveling back to Waterford on the 10:15 am train from Dublin Heuston. We booked our seats in the very last carriage so it would be a bit quieter. It was a relaxing and uneventful journey until we were about 15 minutes from Kilkenny.

Around this time, a young man in a tracksuit came through the carriage door from E to F and started screaming ""I don't give a fu*ck, I don't give a fu*ck"" at the top of his voice. At this point, everyone in the carriage was very alarmed. The man was completely out of his mind on drink, drugs or both and continued to scream this very aggressively. He then sat at the top of the carriage and began smashing his fists against the table as hard as he could while screaming loudly and making high-pitched animal-like noises.

At this point, the woman sitting closest to him, about two rows back, became very frightened, grabbed her stuff and quickly moved down to the back of the train.

As we were in the last carriage, the only way to get away from this guy was to walk past him and the ones that chose to do so (including a woman and a child) received a sickening torrent of verbal abuse of a sexual nature.

He then got up and started to make his way down the aisle to where we were sitting. We didn't look at him or make eye contact in the hope he would just keep walking. But he didn't, he stopped and racially abused my wife, who is Thai.

At this point, the man sensed that I was about to get up and defend us so he made his way to the very back of the train where he waited and exited at Kilkenny.

Irish Rail needs to observe each and every passenger that boards the train to determine whether or not they are safe to travel with the other passengers onboard.

Unfortunately, this isn't the first racist abuse we have encountered in this country and I very much doubt it will be the last, but this particular incident has left my wife and child terrified and I don't think I'll ever be able to relax onboard a train in this country again. In fact, I don't think Irish Rail is a safe way to travel and we will most likely be bussing it from now on.",Written 29 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Ocala, FL",20 contributions,0,Jul 2023 • Solo,"Booked a first class ticket from Killarney to Dublin ( Heuston), and paid the extra 10 euros so that I could get breakfast, coffee, etc. My departure was at 7:45 am, so nothing was available at my small hotel or anywhere else that early. I had counted on having meal service in the train, so was not worried. I don’t function well without at least coffee!p in the morning!
The train left the station, and the conductor said “Sorry, but no catering available, we’re working on that “.
When he walked through the car, stamping tickets, I asked him if there was at least bottled water, as I had none - and the trip was 3 hrs duration. Again, “ no, sorry - no water”.
That is inexcusable. Bottles of water in the small kitchen in that car should not be too much to ask for.
Granted, the seats are comfortable, but not worth the 10 extra from coach to first.p in my opinion.
If you decide the large seats are worth it, come prepared with your own water and snacks. And get your coffee before you board!
I am not impressed with Irish Rail",Written 9 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,7 contributions,,0,Jul 2023 • Business,We were travelling with a group of children with additional needs. Booking made by phone and  the operator was very helpful. Staff on the day were available to help us getting on and off and were so nice to the children....a hassle free journey. ,Written 5 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Toronto, Canada",1 contribution,0,Jun 2023 • Friends,"After a 12 day hiking holiday, took the train from Dublin to visit relatives in Belfast.  Train departed promptly.  However, my travelling companion and I were travelling with a large suitcase each and a back pack.  It would have been very helpful, to know in advance, which end of the car had the luggage storage.  When we got on we found out the luggage racks were at the opposite end of the car, but other people boarding were right behind us so we had to proceed.  The aisle was way too narrow to pull the suitcases on their wheels, so had to turn them sideways and drag the entire length of the car.  There was a boarding door right at the luggage rack, so if there was a way to indicate this, prior to departure, it would have been very helpful.  We had reserved seats, but others were already sitting in our seats by the time we got to them.  They had to remove the meal they'd set out, so that we could sit in our seats.  The young lady with the beverage cart came by and only served the opposite side, to us, in the car.  it took forever for her to come back and serve our side of the car.  We saw freshly brewed coffee on the menu and ordered two.  This was the worst coffee ever!  It was not fresh brewed, it was instant and came in a cup that had a mesh screen to prevent the undisolved grounds from being drank.  At a cost of €3.70, don't waste your money.  Buy a coffee before you get on the train.  The ride was fine and the train was clean.  The washroom could have done with a freshen up part way through the trip.",Written 5 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,7 contributions,,0,Jul 2023 • Family,"Our family of 4 pre-booked Dublin Heuston to Galway with reserved seats. Our carriage C was absolutely packed with students sitting in our seats that had each of our names on them. This was on a Monday (later we were told Mondays are extremely busy). We told the students that our names were on the seats and they moved out. We sat and the train left approximately on time. There was no air flow and the carriage had students sitting all over the floor so when I walked up and down the aisle to find a staff member I was blocked. It was hot. This is a safety hazard. Our family left as soon as possible with all our luggage at the next stop. Thank you to one of the students who sympathized with us and let us know when the next stop would be. We had to move to carriage A and balance our luggage in the little spot between the seating area and the staff room. Our kids sat on the floor there. It was much cooler as the door to the seating area opened and closed every once in a while. Thank you to another kind local who sympathized with us in carriage A and let us know Mondays and Fridays are mayhem. They also said that busy, hot trains are the norm. If I were to do it again I wouldn’t go. Or, before boarding I’d ask the staff which carriage was the least packed and go there despite my pre-booked seats. I am looking at other options for our return.",Written 4 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,0,Jul 2023 • Friends,"Disgrace of a rail system. Longitude weekend they booked people on the train that didn’t have seats so when we got to our train we were refused entry even though we booked seats months in advance. Irish rail staff are another big problem, awful treatment from them. Didn’t want to hear anything we had to says and herded us off the platform like cows all the while yelling at is. Wouldn’t recommend at all.",Written 3 July 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Milan, MI",38 contributions,0,Jun 2023 • Solo,"I took the train from Westport on the Atlantic to Dublin on the Irish sea, a trip of 3.5 hours. The coach was modern, seating comfortable, the WiFi working, and the route speedy. But the train lacked any storage for bags other than an overhead rack inappropriate for large, heavy suitcases. I had no seatmate so I could prop my bag next to me. But the biggest issue is the lack of toilets on a fairly long trip. I've read that some Irish trains have them but this one did not. Fortunately, I didn't need one but what would I have done if I did? The ride would have been extremely uncomfortable. The ticket was very cheap but maybe charging more and better outfitting trains for passengers would be a good idea.",Written 23 June 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,dublin,10 contributions,1,Jun 2023 • Solo,When u go another country.the rail service is a lot better more organised..Irish rail and its staff are a disgrace ,Written 11 June 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",17 contributions,0,Jun 2023 • Couples,No seat reservation again for three days. All management at Irish rail should be sacked for gross incompetence. Incompetence is the only word to describe these horrible outdated disfunctional company.,Written 8 June 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,5 contributions,,0,May 2023 • Friends,Had the most fabulous trip to castlebar by train with Irish rail yesterday. Staff member Noel in Irish rail Castlebar was so kind and helpful. Thank-you 😊,Written 27 May 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,May 2023 • Solo,"No real latitude to change your trip, no open return. You are compelled to your booking confirmation and if you miss that you will pay again, if not now. Awful. Limit travel to exact time only.",Written 25 May 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"County Kildare, Ireland",5 contributions,0,May 2023 • Solo,Irish Rail are so nice to travel with. The trains are nice and comfortable and you can charge your phone while you relax. The customer service is excellent and the staff really go above and beyond to help you. I received great help today and I wish I got the names of the staff who helped me so I could thank them here.,Written 22 May 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",1 contribution,1,May 2023 • Couples,"Trains are average, at best compared to France or Germany.   The speed is slower than local trains in Europe, plus the network is incomplete.  Surprising that with the Irish Government proposing a sovereign wealth fund, rail for freight and passengers isn’t a higher priority.",Written 17 May 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,1 contribution,,0,May 2023 • Friends,"I wood not normally do review s, but went to kilkenny yesterday from waterford,  and was due to come back on the 1547 today ticket bought  return Sunday but had enough and was just about to buy a new ticket for the 1100 train while I said I wood say to a member of staff from irish rail do I need to buy a new ticket,  he said I was grand . Could not get a nicer fella that knows his job , I forgot how good it was to travel by train and at a great price too,  I'll be surely back again soon ,",Written 7 May 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cork, Ireland",1 contribution,2,Apr 2023 • Solo,The long overdue teturn of on board catering on irish rail does not accept cash. So the public transport system does not accept the legal currency of the country. That is not right. ,Written 30 April 2023,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
